Name,Teams,Matches,Runs,Bat Avg,Wickets,Bowl Avg
V R Aaron,"DDV, RCB, KXI, RRO, GTI",52,50,10.00,44,33.66
S A Abbott,"RCB, SUN",3,22,7.33,1,104.00
Y A Abdulla,KXI,11,,,15,20.47
Abhishek Sharma,"DDV, SUN",36,667,23.82,7,30.57
A B Agarkar,"KKR, DDV",42,179,17.90,29,39.69
S Agarwal,GUJ,1,,,1,42.00
K K Ahmed,"SUN, DDV",34,1,0.20,48,22.94
B  Akhil,"RCB, KTK",15,76,12.67,6,40.33
F A Allen,"KXI, MIN",5,14,7.00,2,68.00
H M Amla,KXI,16,577,44.38,,
C J Anderson,"MIN, DDV, RCB",30,538,24.45,11,47.09
S  Anirudha,"CSK, SUN",20,136,17.00,,
Ankit Soni,GUJ,7,7,3.50,2,58.50
Anuj Rawat,"RRO, RCB",10,129,14.33,,
K P  Appanna,RCB,14,2,2.00,9,31.78
J C Archer,"RRO, MIN",35,195,15.00,46,21.33
Arshdeep Singh,KXI,37,23,5.75,40,26.35
J  Arunkumar,RCB,3,23,7.67,,
M Ashwin,"RPS, RCB, KXI, MIN",42,35,3.89,35,31.69
K M Asif,CSK,3,,,4,23.25
Avesh Khan,"RCB, DDV, LSG",38,31,15.50,47,24.79
Azhar Mahmood,"KXI, KKR",23,388,20.42,29,24.14
S Badree,"RRO, CSK, RCB",12,13,2.60,11,29.00
G J Bailey,"CSK, KXI, RPS",40,663,24.56,,
L Balaji,"CSK, KKR, KXI",73,36,4.50,76,26.68
T Banton,KKR,2,18,9.00,,
T Baroka,"GUJ, RRO",1,,,,
R A Bawa,KXI,2,11,5.50,,
F Behardien,KXI,3,14,7.00,,
K S Bharat,"RCB, DDV",10,199,28.43,,
R R  Bhatkal,RCB,1,,0.00,,
R K Bhui,SUN,2,7,3.50,,
S W Billings,"DDV, CSK, KKR",30,503,19.35,,
Bipul Sharma,"KXI, SUN",33,187,23.38,17,33.65
T R Birt,DDV,5,75,15.00,,
M S  Bisla,"KXI, KKR, RCB",39,798,21.00,,
S M Boland,RPS,2,,,2,27.00
S E Bond,KKR,8,1,1.00,9,24.89
R R  Bose,KXI,1,,,,
M V Boucher,"RCB, KKR",31,394,28.14,,
D A J Bracewell,DDV,1,12,,3,10.67
D J J Bravo,"MIN, CSK, GUJ",161,1560,22.61,183,23.83
D Brevis,MIN,7,161,23.00,1,8.00
J C Buttler,"MIN, RRO",82,2831,39.87,,
K C Cariappa,"KKR, KXI, RRO",11,24,8.00,8,43.50
Y S Chahal,"MIN, RCB, RRO",131,37,5.29,166,21.83
R D Chahar,"RPS, MIN, KXI",55,108,8.31,57,25.91
U B T Chand,"DDV, RRO, MIN",21,300,15.00,,
A  Chandila,RRO,12,4,,11,22.00
P P Chawla,"KXI, KKR, CSK, MIN",165,584,11.68,157,27.39
S D  Chitnis,"MIN, RRO, KXI",11,99,14.14,2,30.00
P Chopra,RRO,2,8,8.00,,
M Choudhary,CSK,13,6,6.00,16,26.50
M J Clarke,PWI,6,98,16.33,2,33.50
D P Conway,CSK,7,252,42.00,,
S S Cottrell,KXI,6,,0.00,6,29.33
P J Cummins,"KKR, DDV",42,379,18.95,45,30.16
T K Curran,"KKR, RRO, DDV",13,127,25.40,13,33.08
C J Dala,DDV,1,,,,
D B  Das,KKR,31,304,21.71,,
T H David,"RCB, MIN",9,187,31.17,,
C de Grandhomme,"KKR, RCB",25,303,18.94,6,55.50
M de Lange,"KKR, MIN",5,1,1.00,5,33.80
A B de Villiers,"DDV, RCB",184,5162,39.71,,
J L Denly,KKR,1,,0.00,,
K H  Devdhar,DCH,1,,,,
R Dhawan,"MIN, KXI",32,190,21.11,24,33.17
M S Dhoni,"CSK, RPS",234,4978,39.20,,
A B Dinda,"KKR, DDV, PWI, RCB, RPS",78,26,2.60,69,30.04
A P  Dole,RRO,3,34,17.00,5,22.40
R Dravid,"RCB, RRO",89,2174,28.23,,
D  du Preez,RCB,2,10,10.00,4,14.00
P Dubey,DDV,3,7,,,
B R Dunk,MIN,3,40,13.33,,
F H Edwards,DCH,6,4,4.00,5,30.80
J P Faulkner,"PWI, KXI, RRO, GUJ",60,527,21.08,59,30.14
Fazalhaq Farooqi,SUN,3,2,,2,55.00
L H Ferguson,"RPS, KKR, GTI",35,67,33.50,36,29.86
A J Finch,"RRO, DDV, PWI, SUN, MIN, GUJ, KXI, RCB, KKR",92,2091,25.19,1,67.00
A Flintoff,CSK,3,62,31.00,2,52.50
Gagandeep Singh,KXI,4,,,3,47.00
G Gambhir,"DDV, KKR",154,4217,31.01,,
S C Ganguly,"KKR, PWI",59,1349,25.45,10,36.30
G H S Garton,RCB,5,2,2.00,3,45.00
R S Gavaskar,KKR,2,2,2.00,,
B Geeves,DDV,2,,,1,91.00
H H Gibbs,"DCH, MIN",36,886,27.69,,
Y  Gnaneswara Rao,KTK,2,19,19.00,,
R V  Gomez,"KTK, PWI",13,50,10.00,5,25.80
