Name,Role,Batting Style,Bowling Style,Nationality,DOB,IPL Debut
MS Dhoni,Wicketkeeper Batter,Right-handed,Right-arm Medium,Indian,07-Jul-81,2008
Devon Conway,WK-Batsman,Left-handed,Right-arm Medium,South African,08-Jul-91,
Ruturaj Gaikwad,Batter,Right-handed,,Indian,31-Jan-97,
Subhranshu Senapati,Batter,Left-handed,Right-arm Medium,Indian,30-Dec-96,
Ambati Rayudu,Wicketkeeper Batter,Right-handed,Right-arm Off-spin,Indian,23-Sep-85,2010
Ravindra Jadeja,All-rounder,Left-handed,Left-arm Orthodox Spin,Indian,06-Dec-88,2008
Dwaine Pretorius,Bowling Allrounder,Left-handed,Right-arm Fast-medium,South African,29-Mar-89,
Mitchell Santner,Bowling all-rounder,Left-handed,Left-arm Orthodox,New Zealander,05-Feb-92,2019
K Bhagath Varma,All-rounder,Right-handed,Right-arm Offbreak,Indian,21-Sep-98,
Moeen Ali,Batting all-rounder,Left-handed,Right-arm Offbreak,English,18-Jun-87,2018
Rajvardhan Hangargekar,Bowler,Right-handed,Right Arm Medium,Indian,10-Nov-02,
Shivam Dube,All-rounder,Left-handed,Medium Seam,Indian,26-Jun-93,2019
Deepak Chahar,Bowler,Right-handed,Right-arm Medium,Indian,07-Aug-92,2016
Maheesh Theekshana,Bowler,Right-handed,Right Arm Off Break Medium,Sri Lankan,01-Aug-00,
Mukesh Choudhary,Bowler,Left-handed,Left Arm Medium,Indian,06-Jul-96,
Prashant Solanki,Bowler,Right-handed,Legbreak,Indian,15-Oct-92,
Simarjeet Singh,Bowler,Right-handed,Right-arm Fast-medium,Indian,17-Jan-98,
Ajinkya Rahane,Batter,Right-handed,Right-arm Medium,Indian,06-Jun-88,2008
Tushar Deshpande,Bowler,Left-handed,Right Arm Medium,Indian,15-May-95,
Ben Stokes,All-rounder,Left-handed,Right Arm Fast Medium,English,04-Jun-91,2017
Matheesha Pathirana,Bowler,Right-handed,Right-arm Medium,Sri Lankan,18-Dec-02,
Shaik Rasheed,Batter,Right-handed,Right Arm Leg Spin,Indian,24-Sep-04,
Nishant Sindhu,All-Rounder,Left-handed,Left Arm Slow Orthodox,Indian,09-Apr-04,
Kyle Jamieson,Bowler,Right-handed,Right Arm Fast,New Zealander,30-Dec-94,
Ajay Mandal,All-Rounder,Left-handed,Left Arm Slow Unorthodox,Indian,25-Feb-96,
Rishabh Pant,Wicketkeeper Batter,Left-handed,,Indian,04-Oct-97,2016
David Warner,Batter,Left-handed,Right-arm Leg Spin,Australian,27-Oct-86,2009
Prithvi Shaw,Batter,Right-handed,,Indian,09-Nov-99,2018
Rovman Powell,Batter,Right-handed,,West Indian,23-Jul-93,
Axar Patel,All-rounder,Left-handed,Left-arm Orthodox Spin,Indian,20-Jan-94,2014
Kamlesh Nagarkoti,Bowler,Right-handed,Medium Seam,Indian,28-Dec-99,
Lalit Yadav,All-Rounder,Right-handed,Off Spin,Indian,03-Jan-97,
Mitchell Marsh,All-rounder,Right-handed,Right-arm Medium,Australian,20-Oct-91,2010
Pravin Dubey,Bowler,Right-handed,Leg Spin,Indian,01-Jul-93,
Ripal Patel,Batter,Right-handed,Right-arm Fast-medium,Indian,28-Sep-95,
Sarfaraz Khan,Batter,Right-handed,Legbreak,Indian,22-Oct-97,2015
Vicky Ostwal,Bowler,Right-handed,Left-arm Spin,Indian,01-Sep-02,
Yash Dhull,Batter,Left-handed,Right-arm Offbreak,Indian,11-Nov-02,
Aman Khan,Batsman,Right-handed,Right-arm Medium,Indian,23-Nov-96,
Anrich Nortje,Bowler,Right-handed,Fast Seam,South African,16-Nov-93,
Chetan Sakariya,Bowler,Left-handed,Fast Seam,Indian,28-Feb-98,
Kuldeep Yadav,Bowler,Left-handed,Left-arm Orthodox Spin,Indian,14-Dec-94,2016
Lungi Ngidi,Bowler,Right-handed,Fast Seam,South African,29-Mar-96,2018
Mustafizur Rahman,Bowler,Left-handed,Fast Seam,Bangladeshi,06-Sep-95,
Khaleel Ahmed,Bowler,Right-handed,Left-arm Medium Pace,Indian,05-Dec-97,2018
Phil Salt,Wicketkeeper,Right-handed,,England,28-Aug-96,
Ishant Sharma,Bowler,Right-handed,Right-arm Medium Fast,Indian,02-Sep-88,2008
Mukesh Kumar,Bowler,Right-handed,Right Arm Fast Medium,Indian,12-Oct-93,
Manish Pandey,Batter,Right-handed,Right-arm Off-spin,Indian,10-Sep-89,2008
Rilee Rossouw,Batter,Left-handed,Right-arm Off-spin,South African,09-Oct-89,
Hardik Pandya,All-rounder,Right-handed,Right-arm Medium Fast,Indian,11-Oct-93,2015
Abhinav Manohar,,Right-handed,Right Arm Leg Break Medium,Indian,16-Sep-94,
David Miller,Batter,Left-handed,Right-arm Off-spin,South African,10-Jun-89,2012
Shubman Gill,Batter,Right-handed,,Indian,08-Sep-99,2018
Matthew Wade,Wicket-Keeper,Left-handed,,Australian,26-Dec-87,
Wriddhiman Saha,Wicketkeeper Batter,Right-handed,,Indian,24-Oct-84,2008
B. Sai Sudharsan,All Rounder,Left-handed,Right Arm Leg Break Medium,Indian,15-Oct-01,
Darshan Nalkande,All Rounder,Right-handed,Right Arm Fast,Indian,04-Oct-98,
Jayant Yadav,Bowler,Right-handed,Right-arm Off-spin,Indian,22-Jan-90,2015
Pradeep Sangwan,Bowler,Right-handed,Left-arm Medium Fast,Indian,05-Nov-90,2008
Rahul Tewatia,Bowler,Left-handed,Right-arm Leg Spin,Indian,20-May-93,2014
Shivam Mavi,Bowler,Right-handed,Right-arm Fast Medium,Indian,26-Nov-98,2018
Vijay Shankar,All-rounder,Right-handed,Right-arm Offbreak,Indian,26-Jan-91,2014
Alzarri Joseph,Bowler,Right-handed,Right-arm Fast-medium,West Indian,20-Nov-96,
Mohammad Shami,Bowler,Right-handed,Right-arm Medium,Indian,03-Sep-90,2009
Noor Ahmad,,Left-handed,Left-arm Wrist Spin,Afghan,15-Aug-00,
Sai Kishore,Bowler,Left-handed,Left Arm Orthodox,Indian,06-Nov-96,
Rashid Khan,Bowler,Right-handed,Legbreak Googly,Afghan,20-Sep-98,2017
Yash Dayal,,Left-handed,Left Arm Medium,Indian,13-Dec-97,
Kane Williamson,Batter,Right-handed,Right-arm Off-spin,New Zealander,08-Aug-90,2015
Joshua Little,Bowler,Right-handed,Left Arm Fast,Ireland,01-Nov-99,
Odean Smith,All-rounder,Right-handed,Right-arm Medium Fast,West Indian,01-Nov-96,
Urvil Patel,Wicketkeeper,Right-handed,,Indian,17-Oct-98,
K.S Bharat,Wicketkeeper Batter,Right-handed,,Indian,03-Oct-93,
Mohit Sharma,Bowler,Right-handed,Right-arm Medium,Indian,19-Dec-91,2013
Shreyas Iyer,Batter,Right-handed,Right-arm Off-break,Indian,06-Dec-94,2015
Rinku Singh,Batter,Left-handed,Right-arm Offbreak,Indian,12-Oct-97,2017
Rahmanullah Gurbaz,Batter,Right-handed,,Afghan,28-Nov-01,
David Wiese,All-rounder,Right-handed,Right-arm Medium-fast,South African,18-May-85,2015
Kulwant Khejroliya,Bowler,Left-handed,Bowler,Indian,02-Mar-95,
Suyash Sharma,Bowler,Right-handed,Right Arm Leg Spin,Indian,15-May-03,
Nitish Rana,Batter,Left-handed,Right-arm Off-break,Indian,27-Dec-93,2016
Anukul Roy,Batting Allrounder,Left-handed,Left-arm Orthodox,Indian,30-Nov-98,2019
Lockie Ferguson,Bowler,Right-handed,Right Arm Fast,New Zealander,13-Jun-91,2017
Andre Russell,All-rounder,Right-handed,Right-arm Fast,West Indian,29-Apr-88,2012
Venkatesh Iyer,All-rounder,Left-handed,Right-arm Medium,Indian,25-Dec-94,
Umesh Yadav,Bowler,Right-handed,Right-arm Medium Fast,Indian,25-Oct-87,2010
Harshit Rana,Bowler,Right-handed,Right-arm Medium,Indian,17-Mar-01,
Tim Southee,Bowler,Right-handed,Right-arm Medium Fast,New Zealander,11-Dec-88,
Shardul Thakur,Bowler,Right-handed,Right-arm Medium,Indian,16-Oct-91,2015
Sunil Narine,Bowler,Left-handed,Right-arm Off-spin,West Indian,26-May-88,2012
Vaibhav Arora,Bowler,Right-handed,Fast Seam,Indian,14-Dec-97,
Varun Chakaravarthy,Bowler,Right-handed,Right Arm Legbreak,Indian,29-Aug-91,2019
Narayan Jagadeesan,Wicketkeeper Batter,Right-handed,,Indian,24-Dec-95,
Litton Das,Wicketkeeper,Right-handed,,Bangladesh,13-Oct-94,
Mandeep Singh,Batter,Right-handed,Right-arm Medium,Indian,18-Dec-91,2010
Shakib Al Hasan,All-rounder,Left-handed,Left-arm Orthodox Spin,Bangladeshi,24-Mar-87,2011
KL Rahul,Wicketkeeper Batter,Right-handed,,Indian,18-Apr-92,2013
Manan Vohra,Batter,Right-handed,Right-arm Medium,Indian,18-Jul-93,2013
Quinton de Kock,Wicketkeeper Batter,Left-handed,,South African,17-Dec-92,
Ayush Badoni,Bowling Allrounder,Right-handed,Right-arm Offbreak,Indian,03-Dec-99,
Deepak Hooda,Bowling All-rounder,Right-handed,Right-arm Off-spin,Indian,19-Apr-95,2015
Krishnappa Gowtham,Bowling Allrounder,Right-handed,Off Spin,Indian,20-Oct-88,2018
Karan Sharma,Batting Allrounder,Right-handed,Off Spin,Indian,04-Sep-00,
Krunal Pandya,All-rounder,Left-handed,Left-arm Orthodox,Indian,24-Mar-91,2016
Kyle Mayers,All Rounder,Left-handed,Right-arm Medium,West Indian,08-Sep-92,
Marcus Stoinis,All-rounder,Right-handed,Right-arm Medium-fast,Australian,16-Aug-89,2016
Avesh Khan,Bowler,Right-handed,Fast Seam,Indian,13-Dec-96,2017
Mark Wood,,Right-handed,Right Arm Fast,English,11-Jan-90,
Mayank Yadav,Bowler,Right-handed,Right-arm Medium Fast,Indian,17-Jun-02,
Mohsin Khan,Bowler,Left-handed,Fast Seam,Indian,15-Jul-98,
Ravi Bishnoi,Bowler,Right-handed,Leg Spin,Indian,05-Sep-00,
Jaydev Unadkat,Bowler,Right-handed,Left-arm Medium Fast,Indian,18-Oct-91,2010
Yash Thakur,Bowler,Right-handed,Right Arm Fast Medium,Indian,28-Dec-98,
Romario Shepherd,All Rounder,Right-handed,Right-arm Fast Medium,West Indian,26-Nov-94,
Nicholas Pooran,Wicketkeeper Batter,Left-handed,,West Indian,02-Oct-95,2019
Amit Mishra,Bowler,Right-handed,Right-arm Leg Spin,Indian,24-Nov-82,2008
Daniel Sams,All-rounder,Right-handed,Left Arm Medium,Australian,27-Oct-92,
Swapnil Singh,Bowling all-rounder,Right-handed,Left-arm Spin,Indian,22-Jan-91,
Prerak Mankad,All-rounder,Right-handed,Right-arm Medium,Indian,23-Apr-94,
Naveen Ul Haq,Bowler,Right-handed,Right Arm Fast Medium,Afghanistan,23-Sep-99,
Yudhvir Singh,All-rounder,Right-handed,,Indian,13-Sep-97,
Rohit Sharma,Batter,Right-handed,Right-arm Off-spin,Indian,30-Apr-87,2008
Dewald Brevis,,Left-handed,Leg Spin,South African,29-Apr-03,
Suryakumar Yadav,Batter,Right-handed,Right-arm Medium,Indian,14-Sep-90,2012
Ishan Kishan,Wicketkeeper Batter,Left-handed,,Indian,18-Jul-98,2016
Arjun Tendulkar,All-rounder,Left-handed,Medium-seam,Indian,24-Sep-99,
Hrithik Shokeen,Bowler,Right-handed,Right Arm Off Break,Indian,14-Aug-00,
Jofra Archer,All-rounder,Right-handed,Fast Seam,English,01-Apr-95,2018
Mohd. Arshad Khan,All Rounder,Left-handed,Left Arm Medium,Indian,20-Dec-97,
